hrs,krate,name
33,0.296092796,Rosman Verdugo
33,0.181463415,Josue Briceno
33,0.184480234,Keury De La Cruz
33,0.306962025,Will Swanner
33,0.244206774,Manny Sanchez
33,0.190652819,Jefrey Ramos
32,0.14763062,Jonathan Schoop
32,0.162144703,Brandon Drury
32,0.26929982,Nick Williams
32,0.180535966,Jason Martin
32,0.191747573,Ryan Mountcastle
32,0.210006583,Elehuris Montero
32,0.252890173,Oneil Cruz
32,0.337924702,MJ Melendez
32,0.290076336,Nolan Gorman
32,0.228007181,Roman Anthony
32,0.249352332,Rymer Liriano
32,0.296529968,Trayce Thompson
32,0.224081633,Pedro Gonzalez
32,0.286919831,Nelson Gomez
32,0.261398176,Jose De La Cruz
32,0.204601479,Ramon Ramirez
32,0.245175125,Cam Collier
32,0.26691042,Angel Castillo
32,0.195838433,Sebastian Valle
32,0.225429553,Jonathan Galvez
32,0.224475018,Edward Salcedo
32,0.12936345,Ronaldo Hernandez
31,0.202884615,Nick Franklin
31,0.250414594,Adalberto Mondesi
31,0.247606892,Jack Suwinski
31,0.176609105,Ezequiel Tovar
31,0.123491179,Adael Amador
31,0.16374269,Brandon Laird
31,0.184971098,Jose Castro
31,0.202787456,Kelvin Diaz
31,0.234375,Dariel Lopez
31,0.201146679,Daniel Mateo
31,0.237129485,Sebastian Walcott
31,0.232916266,Jaime Ortiz
31,0.225405922,Angel Villalona
31,0.318373072,Osvaldo Morales
31,0.412154696,Michael Medina
31,0.310631229,Carlos Belen
30,0.309859155,Steven Moya
30,0.196123147,Ronny Rodriguez
30,0.275738585,Jorge Alfaro
30,0.250984252,Dylan Cozens
30,0.171591992,Lewin Diaz
30,0.213202498,Ronald Acuna Jr.
30,0.182549505,Jahmai Jones
30,0.179104478,Royce Lewis
30,0.217690982,Oscar Gonzalez
30,0.321576763,Jeremiah Jackson
30,0.229655172,Carlos Gonzalez
30,0.1875,Fernando Martinez
30,0.272311213,Juan Carlos Negret
30,0.229654404,Eddys Leonard
30,0.22301542,Jose Garcia
30,0.249720045,A.J. Vukovich
30,0.213292117,Arnaldo Lantigua
30,0.250513347,Arjun Nimmala
30,0.163043478,Rainiel Rodriguez
30,0.177631579,Edinson Rincon
30,0.237127371,Gilbert Gomez
30,0.233067729,Leandro Cedeno
29,0.169125993,Joc Pederson
29,0.149721448,Rougned Odor
29,0.135648755,Carson Kelly
29,0.165407855,Daniel Robertson
29,0.234217749,Aristides Aquino
29,0.094936709,Keibert Ruiz
29,0.167932489,Bo Bichette
29,0.282182438,Khalil Lee
29,0.200413223,Carter Kieboom
29,0.214380826,Jarred Kelenic
29,0.266996292,Riley Greene
29,0.209653092,Anthony Volpe
29,0.248587571,Marcelo Mayer
29,0.288359788,Max Muncy
29,0.211180124,Harry Ford
29,0.137587238,Jason Heyward
29,0.299554566,Kyle Skipworth
29,0.207084469,Lars Anderson
29,0.305158484,Eduardo Garcia
29,0.26006192,Alexander Mojica
29,0.288007554,Shalin Polanco
29,0.228645384,Edwin Arroyo
29,0.316341829,Jace Avina
29,0.246867168,Axiel Plaz
29,0.186702485,Josue De Paula
29,0.295260295,Roderick Arias
29,0.346046512,Henry Bolte
29,0.245454545,Robert Calaz
29,0.232984293,Brian Sanchez
29,0.284035936,Rashun Dixon
29,0.272321429,Roberto De La Cruz
29,0.234541578,Correlle Prime
29,0.298416565,Hector Roa
29,0.311776062,K.J. Woods
29,0.211480363,Dash Winningham
29,0.309544282,Miguelangel Sierra
29,0.314360771,Starling Heredia
29,0.367741935,Lazaro Armenteros
28,0.167175107,Alen Hanson
28,0.167194929,Carlos Correa
28,0.219489982,Yu Chang
28,0.12055336,Jose Miranda
28,0.297468354,Sam Huff
28,0.25375626,George Valera
28,0.204157387,Hector Gomez
28,0.187056738,Edgar Quero
28,0.258883249,Juan Francisco
